buh_empresa	buh_archivo	buh_fecha	buh_bodega	buh_codigo	buh_codigo_funcional	buh_codigo_vinculado	buh_codigo_generico	buh_estatus	buh_clasificacion	buh_responsable	buh_ctv	buh_pv	buh_precio_promocion	buh_promocion_desde	buh_promocion_hasta	buh_proveedor	buh_perfil	buh_horizonte	buh_tiempo_suministro	buh_frecuencia_reposicion	buh_gdb	buh_cam	buh_etapa	buh_nuevo_buffer_sugerido	buh_comportamiento	buh_consumo	buh_buffer_calculado	buh_cobertura_buffer	buh_cobertura_inventario_proyectado	buh_cobertura_pedido_minimo	buh_dias_desabastecimiento	buh_ventas_perdidas	buh_observaciones	buh_nuevo_buffer_real	buh_posponer_alerta_buf	buh_posponer_alerta_red	buh_posponer_alerta_gdb	buh_buffer_minimo	buh_buffer_maximo	buh_pedido_minimo	buh_redondeo_pedido_minimo	buh_pedido_minimo_grupo	buh_unidad_empaque	buh_redondeo_unidad_empaque	buh_porcentaje_atencion	buh_impacto_faltante	buh_buffer_actual	buh_zona_amarilla	buh_zona_roja	buh_color_inventario_fisico	buh_color_inventario_proyectado 	buh_ultimo_buffer	buh_buffer_anterior_estacion	buh_buffer_estacional	buh_inventario_proveedor	buh_inventario_fisico	buh_estado_inventario_fisico	buh_transito	buh_negociacion	buh_produccion	buh_embarcado	buh_comprometido	buh_backorder	buh_inventario_proyectado	buh_estado_inventario_proyectado	buh_ingresos	buh_egresos	buh_pedido_calculado_auxiliar	buh_pedido_calculado	buh_pedido_promedio	buh_pedido_real	buh_calendario_estacional	buh_accion_estacional	buh_etapa_estacional	buh_tdd	buh_idd	buh_roi_pasado	buh_roi_proyectado	buh_velocity	buh_nivel_servicio	buh_ultimo_cambio	buh_nuevo_inicio_horizonte	buh_inicio_horizonte	buh_fin_horizonte	buh_ultima_transferencia_ini	buh_ultima_transferencia_fin	buh_variabilidad	buh_rojo_acumulado	buh_negro	buh_rojo	buh_amarillo	buh_verde	buh_lila	emp_nombre	bod_nombre	ach_nombre	pro_nombre	pre_nombre	pro_descripcion	pro_grupo	pro_linea	pro_sublinea	pro_modelo	pro_familia	pro_subamilia 	pro_categoria	pro_tipo	pro_marca	pro_cat_management
1	1	2016-03-04	Bodega Central Agrota	10000000035	\N	EC-9242422000	0	0	0	0	0.30	1.11	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	\N	LIBRE-261	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	\N	Default	\N	2.00	=	1.00	\N	7.00	5.00	2.00	L	L	7.00	\N	\N	1000000000.00	10.00	-0.43	0.00	0.00	0.00	0.00	0.00	0.00	10.00	-0.43	0.00	0.00	\N	0.00	2.00	\N	\N	\N	\N	0.00	0.90	0.00	11.78	0.00	1.00	2015-04-01	2015-12-18	2015-12-18	2016-03-04	\N	\N	0.00	0.00	0.00	0.00	0.00	0.00	0.07	AGROTA	Bodega Central Agrota	Repuestos Shindaiwa.xlsm	Echo	USA	SEGURO ZEGER CAJA ENGRANAJE C230 (02432-22100)	REPUESTOS DESMALEZADORAS	AGROFORESTAL	\N	\N	\N	\N	REPUESTOS ECHO Y SHINDAIWA	\N	SHINDAIWA	\N
1	1	2016-03-04	Bodega Central Agrota	10000000036	\N	EC-9242426000	0	0	0	0	0.30	1.03	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	+-	LIBRE-38	10.00	\N	0.00	0.00	0.00	0.00	0.00	38	0.00	\N	\N	\N	\N	\N	\N	\N	\N	Default	\N	\N	=	1.00	\N	7.00	5.00	2.00	N	N	5.00	\N	\N	1000000000.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	\N	7.00	2.00	\N	\N	\N	\N	1.46	0.00	0.00	10.62	0.00	1.00	2015-11-10	2015-12-18	2015-12-18	2016-03-04	\N	\N	1.00	8.00	0.07	0.00	0.00	0.00	0.00	AGROTA	Bodega Central Agrota	Repuestos Shindaiwa.xlsm	Echo	USA	ANILLO RETENEDOR C230 (02432-26120)	REPUESTOS DESMALEZADORAS	AGROFORESTAL	\N	\N	\N	\N	REPUESTOS ECHO Y SHINDAIWA	\N	SHINDAIWA	\N
1	1	2016-03-04	Bodega Central Agrota	10000000037	\N	EC-9242428000	0	0	0	0	0.23	1.61	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	+-	LIBRE-261	8.00	\N	0.00	0.00	0.00	0.00	0.00	7	0.00	\N	\N	\N	\N	\N	\N	\N	\N	Default	\N	2.00	=	1.00	\N	6.00	4.00	2.00	N	L	6.00	\N	\N	1000000000.00	0.00	1.00	6.00	0.00	0.00	0.00	0.00	6.00	12.00	-1.00	0.00	0.00	\N	0.00	2.00	\N	\N	\N	\N	2.76	0.00	0.00	26.18	0.00	1.00	2015-04-01	2015-12-18	2015-12-18	2016-03-04	\N	\N	1.00	8.00	0.07	0.00	0.00	0.00	0.00	AGROTA	Bodega Central Agrota	Repuestos Shindaiwa.xlsm	Echo	USA	ANILLO DE RETENCION 22F 22C (02432-28120)	REPUESTOS DESMALEZADORAS	AGROFORESTAL	\N	\N	\N	\N	REPUESTOS ECHO Y SHINDAIWA	\N	SHINDAIWA	\N
1	1	2016-03-04	Bodega Central Agrota	10000000040	\N	EC-9242440000	0	0	0	0	0.27	1.72	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	\N	LIBRE-261	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	2.00	\N	\N	Default	\N	\N	=	1.00	\N	0.00	0.00	0.00	G	G	0.00	\N	\N	1000000000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	0.00	1.00	2015-04-01	2015-12-18	2015-12-18	2016-03-04	\N	\N	1.00	0.00	0.07	0.00	0.00	0.00	0.00	AGROTA	Bodega Central Agrota	Repuestos Shindaiwa.xlsm	Echo	USA	CA ANILLO DE RETENCION B45-488 (02432-40170)	REPUESTOS MOTOSIERRAS	AGROFORESTAL	\N	\N	\N	\N	REPUESTOS ECHO Y SHINDAIWA	\N	SHINDAIWA	\N
1	6	2016-03-04	Bodega Central Agrota	10000000056	\N	EC-X605000090	0	0	0	0	0.24	1.54	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	+-	LIBRE-261	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	\N	Default	\N	\N	=	1.00	\N	25.00	17.00	8.00	A	A	25.00	\N	\N	1000000000.00	14.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	14.00	0.44	0.00	0.00	\N	11.00	7.00	\N	\N	\N	\N	0.00	0.00	0.00	23.64	0.00	1.00	2015-04-01	2015-12-18	2015-12-18	2016-03-04	\N	\N	0.00	0.00	0.00	0.00	0.16	0.00	0.00	AGROTA	Bodega Central Agrota	Accesorios.xlsm	Echo	USA	LLAVE EXAGONAL 3MM B450 HERRAM (09026-03001)	HERRAMIENTAS PARA LA VENTA	AGROFORESTAL	\N	\N	\N	\N	ACCESORIOS LUBRICANTES	\N	SHINDAIWA	\N
1	1	2016-03-04	Bodega Central Agrota	10000000057	\N	EC-X605000100	0	0	0	0	0.33	1.04	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	\N	LIBRE-261	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	\N	Default	\N	\N	=	1.00	\N	0.00	0.00	0.00	G	G	0.00	\N	\N	1000000000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	0.00	1.00	2015-04-01	2015-12-18	2015-12-18	2016-03-04	\N	\N	1.00	0.00	0.07	0.00	0.00	0.00	0.00	AGROTA	Bodega Central Agrota	Repuestos Shindaiwa.xlsm	Echo	USA	CA LLAVE 4MM B450 HERRAMIENTA (09026-04001)	REPUESTOS DESMALEZADORAS	AGROFORESTAL	\N	\N	\N	\N	REPUESTOS ECHO Y SHINDAIWA	\N	SHINDAIWA	\N
1	6	2016-03-04	Bodega Central Agrota	10000000091	\N	SH-108642-24	0	0	0	0	43.95	89.00	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	\N	LIBRE-261	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	\N	Default	\N	\N	=	1.00	\N	0.00	0.00	0.00	G	G	0.00	\N	\N	1000000000.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	0.00	1.00	2015-04-01	2015-12-18	2015-12-18	2016-03-04	\N	\N	0.00	0.00	0.00	0.00	0.00	0.00	0.16	AGROTA	Bodega Central Agrota	Accesorios.xlsm	Echo	USA	CA BARRA 24 LT, 3/8, 0.58	ACCESORIOS	AGROFORESTAL	\N	\N	\N	\N	ACCESORIOS LUBRICANTES	\N	SHINDAIWA	\N
1	6	2016-03-04	Bodega Central Agrota	10000000092	\N	SH-108644-30	0	0	0	0	57.36	99.00	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	\N	LIBRE-261	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	\N	Default	\N	\N	=	1.00	\N	0.00	0.00	0.00	G	G	0.00	\N	\N	1000000000.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	0.00	1.00	2015-04-01	2015-12-18	2015-12-18	2016-03-04	\N	\N	0.00	0.00	0.00	0.00	0.00	0.00	0.16	AGROTA	Bodega Central Agrota	Accesorios.xlsm	Echo	USA	CA BARRA 30 .058 D009	ACCESORIOS	AGROFORESTAL	\N	\N	\N	\N	ACCESORIOS LUBRICANTES	\N	SHINDAIWA	\N
1	1	2016-03-04	Bodega Central Agrota	10000000108	\N	EC-12318140630	0	0	0	0	1.29	5.37	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	+-	LIBRE-84	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	\N	Default	\N	2.00	=	1.00	\N	19.00	13.00	6.00	A	L	14.00	\N	\N	1000000000.00	13.00	0.32	6.00	0.00	0.00	0.00	0.00	6.00	25.00	-0.32	0.00	0.00	\N	0.00	5.00	5.00	\N	\N	\N	0.00	0.00	0.00	13.80	0.00	1.00	2015-09-25	2015-12-18	2015-12-18	2016-03-04	\N	\N	0.00	0.00	0.00	0.00	0.07	0.00	0.00	AGROTA	Bodega Central Agrota	Repuestos Shindaiwa.xlsm	Echo	USA	BOMBA CEBADOR 22F-C230-EB500-HT230 SRM3605 DM6100	REPUESTOS FUMIGACION	AGROFORESTAL	\N	\N	\N	\N	REPUESTOS ECHO Y SHINDAIWA	\N	ECHO	\N
1	1	2016-03-04	Bodega Central Agrota	10000000110	\N	EC-12411505530	0	0	0	0	0.41	1.23	0.00	1899-12-30	1899-12-30	1	1	11.00	8.00	3.00	1	\N	LIBRE-261	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	\N	Default	\N	5.00	=	1.00	\N	18.00	12.00	6.00	L	L	18.00	\N	\N	1000000000.00	24.00	-0.33	0.00	0.00	0.00	0.00	0.00	0.00	24.00	-0.33	0.00	0.00	\N	0.00	5.00	\N	\N	\N	\N	0.00	2.46	0.00	8.73	0.00	1.00	2015-04-01	2015-12-18	2015-12-18	2016-03-04	\N	\N	0.00	0.00	0.00	0.00	0.00	0.00	0.07	AGROTA	Bodega Central Agrota	Repuestos Shindaiwa.xlsm	Echo	USA	RETENEDOR C350-B450 (SH-20000-81150)	REPUESTOS DESMALEZADORAS	AGROFORESTAL	\N	\N	\N	\N	REPUESTOS ECHO Y SHINDAIWA	\N	SHINDAIWA	\N
