EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	110330112405247		EC-6450061	0	ACEITE ECHO POWER BLEND 2T x LT	ACEITES	AGROFORESTAL	0	0	0	ACCESORIOS LUBRICANTES	0	ECHO	0	0						0	0	0	0	7.5	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261	4207		4207		0	0	0	0	0	0	0									Default			=	1		3163	2103	1044	R	R	3163			1000000000	6	1	0	0	0	0	0	0	6	1	0	0	3157	3157	863					7785	0	0	0	0	1	42095	42356	42356	42433			0.078947368	0.155172414	9339	0	0.155172414	0	0	0	0	1	
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	131120081947635		SANYO-0439	0	"CUCHILLA CORBATIN SANYO 14"" (7117)"	MOTOGUADAÑA SHINDAIWA	AGROFORESTAL	0	0	0	DESMALEZADORAS SHINDAIWA	0	SANYO	0	0						0	0	0	4.52	9	0	0	0	Chatani	JAPON CHATANI	28	16	12	1	+-	LIBRE-142					0	0	0	0	0	0	0									Default			=	1		7000	4655	2310	A	V	7000			1000000000	3966	0.43	2300	0	0	0	0	0	6266	0.1	0	0	734	734	3000					0	0	0	1.699115044	0	1	42095	42237	42237	42433			0.088667354	0.717514124	0	0	0	0.327683616	0.389830508	0	0	2	
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	110107170653567		EC-X047000520	0	CABEZAL METALICO NEGRO  (22000-92812)	MOTOGUADAÑA SHINDAIWA	AGROFORESTAL	0	0	0	DESMALEZADORAS SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	4.16	15.76	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-113	1064		1064		0	0	0	0	0	0	0									Default		54	=	1		800	532	264	R	R	740			1000000000	119	0.85	50	0	0	0	0	50	219	0.73	0	0	581	594	218	54				1682	0	0	12.16783217	0	1	42243	42356	42356	42433			0.014678397	0.155172414	1314	0	0.155172414	0	0	0	0	3	
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	131120084234866		SANYO-3961	0	"DISCO VIDEA SANYO KT 10"" X 40D"	ACCESORIOS	AGROFORESTAL	0	0	0	ACCESORIOS LUBRICANTES	0	SANYO	0	0						0	0	0	9.79	19	0	0	0	Chatani	JAPON CHATANI	28	16	12	1	-	SUSP-25					0	0	0	0	0	36	0									Default			=	1		400	266	132	N	V	200			1000000000	0	1	400	0	0	0	0	0	400	0	0	0	0	0	171					1215.72	0	0	1.612724354	0	1	42262	42262	42262	42458			1.331972368	0.603550296	0	0.384615385	0.218934911	0	0	0	0	4	
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	110107170403153		EC-13-58	0	GRASA SHINDAIWA 283.5 G  (6703)	ACCESORIOS	AGROFORESTAL	0	0	0	ACCESORIOS LUBRICANTES	0	SHINDAIWA	0	0						0	0	0	5.29	8.81	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-113	665		665		0	0	0	0	0	0	0									Default			=	1		500	333	165	R	R	600			1000000000	4	0.99	36	0	0	0	0	28	68	0.86	0	0	432	432	136	50				566.72	0	0	2.903591682	0	1	42243	42356	42356	42433			0	0.155172414	1449	0	0.155172414	0	0	0	0	5	
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	130607122113008		EC-78890-40001B	0	CABEZAL UN-10 NUEVO PERFIL ELEVADO	ACCESORIOS	AGROFORESTAL	0	0	0	ACCESORIOS LUBRICANTES	0	SHINDAIWA	0	0						0	0	0	5.65	15.37	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-113					0	0	0	0	0	0	0									Default			=	1		800	532	264	A	L	600			1000000000	374	0.53	624	0	0	0	0	633	1631	-1.04	0	0	0	0	218					0	0	0	7.506999195	0	1	42243	42356	42356	42433			0.012351956	0.155172414	0	0	0	0.155172414	0	0	0	6	
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	131120114626718		ASAB-HOSES	0	MANGUERA DE FUMIGACIÓN 5MPA	PULVERIZADORES	AGROFORESTAL	0	0	0	FUMIGACION	0	ASABA	0	0						0	0	0	84.34	203.57	0	0	0	Chatani	JAPON CHATANI	28	16	12	1	-	SUSP-6					0	0	0	0	0	2	0									Default			=	1		300	200	99	R	V	200			1000000000	1	1	219	0	0	0	0	0	220	0.27	0	0	80	80	129					11684.54	0	0	2.423456079	0	1	42243	42243	42243	42439			0.708223521	0.691428571	0	0.011428571	0.68	0	0	0	0	7	
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	110919123956230		EC-99909-55113	0	ACEITE SHINDAIWA PREMIUM 2-TIEMPOS 100ML	ACEITES	AGROFORESTAL	0	0	0	ACCESORIOS LUBRICANTES	0	SHINDAIWA	0	0						0	0	0	0	1.37	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	37	0									Default		48	=	1		500	333	165	A	A	500			1000000000	186	0.63	0	0	0	0	0	0	186	0.63	0	0	314	336	136					0	0	0	0	0	1	42095	42356	42356	42433			0.11380222	0.155172414	55	0	0.051724138	0.103448276	0	0	0	8	
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	100913130553892		EC-99909-55133	0	ACEITE SHINDAIWA PREMIUM 2TIEMPOS 1LT	ACEITES	AGROFORESTAL	0	0	0	ACCESORIOS LUBRICANTES	0	SHINDAIWA	0	0						0	0	0	4.12	7.19	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0						1000			Default		12	=	1		600	399	198	A	A	600			1000000000	305	0.49	0	0	0	0	0	0	305	0.49	0	0	295	300	164					0	0	0	3.251544572	0	1	42095	42356	42356	42433			0.048778597	0.155172414	0	0	0	0.155172414	0	0	0	9	
AGROTA	Accesorios.xlsm	42433	Bodega Central Agrota	110330113333686		EC-83003	0	ACEITE LIMPIADOR RED ARMOR FD 2T (7104)	ACEITES	AGROFORESTAL	0	0	0	ACCESORIOS LUBRICANTES	0	SHINDAIWA	0	0						0	0	0	0	5.63	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261	399		399		0	0	0	0	0	0	0									Default		12	=	1		300	200	99	R	R	300			1000000000	83	0.72	0	0	0	0	0	0	83	0.72	0	0	217	216	82					90.08	0	0	0	0	1	42095	42356	42356	42433			0.274917186	0.155172414	259	0	0.155172414	0	0	0	0	10	
