EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	130913115806934		EURO-36305	0	(Y) PARA VACIO PLASTICA	ORDENOS MECANICOS	AGROPECUARIA	0	0	0	ORDENOS Y EQUIPOS LECHEROS	0	EuroLatte	0	0						0	0	0	2.08	2.34	0	0	0	EUROLATTE	BRASIL	22	12	10	1		LIBRE-57					0	0	0	0	0	0	0									Default			=	1		4	3	1	L	L	0			1000000000	6	-0.5	0	0	0	0	0	0	6	-0.5	0	0	0	0	2					0	4.16	0	0.272727273	0	1	42163	42220	42220	42374			0.088385692	0.872483221	0	0.006711409	0	0	0	0.865771812	0	1	
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	10000000003		JF-008	0	02.045001 PERNO DE SEGURIDAD	REPUESTOS ENSILADORAS Y MOLINOS	AGROPECUARIA	0	0	0	ENSILADORAS Y MOLINOS	0	JF	0	0						0	0	0	0.74	1.62	0	0	0	Jf	BRASIL	22	12	10	1		LIBRE-125					0	0	0	0	0	11	0						0			Default			=	1		10	7	3	L	L				1000000000	70	-6	0	0	0	0	0	0	70	-6	0	0	0	0	5					0	44.4	0	2.594594595	0	1	42095	42220	42220	42374			0.320130048	0.872483221	0	0.080536913	0	0	0	0.791946309	0	2	
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	120210171933995		EURO-39161	0	ABRAZADERA DE 50 X 1 HEMBRA (10755)	ORDENOS MECANICOS	AGROPECUARIA	0	0	0	ORDENOS Y EQUIPOS LECHEROS	0	EuroLatte	0	0						0	0	0	2.44	5.45	0	0	0	EUROLATTE	BRASIL	22	12	10	1		LIBRE-57					0	0	0	0	0	0	0									Default			=	1		15	10	5	L	L	0			1000000000	46	-2.07	0	0	0	0	0	0	46	-2.07	0	0	0	0	7					0	75.64	0	2.691505216	0	1	42163	42220	42220	42374			0.096167217	0.872483221	0	0.006711409	0	0	0	0.865771812	0	3	
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	120210172750531		EURO-39163	0	"ABRAZADERA DE 50 X 1/2"" HEMBRA (10755-B)"	ORDENOS MECANICOS	AGROPECUARIA	0	0	0	ORDENOS Y EQUIPOS LECHEROS	0	EuroLatte	0	0						0	0	0	2.32	5.45	0	0	0	EUROLATTE	BRASIL	22	12	10	1		LIBRE-57					0	0	0	0	0	0	0									Default			=	1		15	10	5	L	L	0			1000000000	59	-2.93	0	0	0	0	0	0	59	-2.93	0	0	0	0	7					0	102.08	0	2.943573668	0	1	42163	42220	42220	42374			0.124436281	0.872483221	0	0.006711409	0	0	0	0.865771812	0	4	
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	130827154627781		EURO-39095	0	"ABRAZADERA HEMBRA 75MM X 1/2"" (10756-C)"	ORDENOS MECANICOS	AGROPECUARIA	0	0	0	ORDENOS Y EQUIPOS LECHEROS	0	EuroLatte	0	0						0	0	0	2.75	5.65	0	0	0	EUROLATTE	BRASIL	22	12	10	1		LIBRE-57					0	0	0	0	0	0	0									Default			=	1		10	7	3	L	L	0			1000000000	54	-4.4	0	0	0	0	0	0	54	-4.4	0	0	0	0	5					0	121	0	2.300826446	0	1	42163	42220	42220	42374			0.088385692	0.872483221	0	0.006711409	0	0	0	0.865771812	0	5	
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	130513100342738		EURO-39096	0	"ABRAZADERA HEMBRA 75mmX1"" (10756-D)"	ORDENOS MECANICOS	AGROPECUARIA	0	0	0	ORDENOS Y EQUIPOS LECHEROS	0	EuroLatte	0	0						0	0	0	2.73	5.65	0	0	0	EUROLATTE	BRASIL	22	12	10	1		LIBRE-57					0	0	0	0	0	0	0									Default			=	1		10	7	3	L	L	0			1000000000	23	-1.3	0	0	0	0	0	0	23	-1.3	0	0	0	0	5					0	35.49	0	2.333666334	0	1	42163	42220	42220	42374			0.088385692	0.872483221	0	0.006711409	0	0	0	0.865771812	0	6	
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	121026171431179		EURO-36392	0	ACEITE PARA BOMBA VACIO X 5LT (11012)	ORDENOS MECANICOS	AGROPECUARIA	0	0	0	ORDENOS Y EQUIPOS LECHEROS	0	EuroLatte	0	0						0	0	0	28.16	42.61	0	0	0	EUROLATTE	BRASIL	22	12	10	1		LIBRE-57					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	1	42163	42220	42220	42374			1.28649698	0.872483221	0	0.516778523	0	0	0	0.355704698	0	7	
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	120210152527299		EURO-36383	0	ACEITE PARA BOMBAS DE VACIO X 1LT (11000)	ORDENOS MECANICOS	AGROPECUARIA	0	0	0	ORDENOS Y EQUIPOS LECHEROS	0	EuroLatte	0	0						0	0	0	5.63	8.99	0	0	0	EUROLATTE	BRASIL	22	12	10	1		LIBRE-57					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	1	42163	42220	42220	42374			1.209996875	0.872483221	0	0.516778523	0	0	0	0.355704698	0	8	
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	120210165226250		EURO-39025	0	ADAPTADOR DEL PULSADOR L02/LT80 (10106)	ORDENOS MECANICOS	AGROPECUARIA	0	0	0	ORDENOS Y EQUIPOS LECHEROS	0	EuroLatte	0	0						0	0	0	2.61	3.9	0	0	0	EUROLATTE	BRASIL	22	12	10	1		LIBRE-57					0	0	0	0	0	0	0									Default			=	1		40	27	13	L	L	0			1000000000	101	-1.53	0	0	0	0	0	0	101	-1.53	0	0	0	0	18					0	159.21	0	1.078369906	0	1	42163	42220	42220	42374			0.095157934	0.872483221	0	0.006711409	0	0	0	0.865771812	0	9	
AGROTA	Agropecuaria.xlsm	42374	Bodega Central Agrota	150409145914369		EURO-39016	0	AMORTIGUADOR COLECTOR	ORDENOS MECANICOS	AGROPECUARIA	0	0	0	ORDENOS Y EQUIPOS LECHEROS	0	EuroLatte	0	0						0	0	0	1.08	0	0	0	0	EUROLATTE	BRASIL	22	12	10	1		LIBRE-57					0	0	0	0	0	0	0									Default			=	1		2	2	1	L	L	0			1000000000	15	-6.5	0	0	0	0	0	0	15	-6.5	0	0	0	0	1					0	14.04	0	-2.181818182	0	1	42163	42220	42220	42374			0.088385692	0.872483221	0	0.006711409	0	0	0	0.865771812	0	10	
