EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	110708162418082		MPACCOABM-100CC	0	ABAMECTIN 2.0% Ec x 100CC	ABAMECTIN 2.0% Ec	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SINOCHEM	0	0						0	0	0	0	0	0	0	0	Sinochem	CHINA	16	12	4	1	+-	LIBRE-174	17689		17689		0	0	0	0	0	5	0								4000	Default			=	1		13300	8845	4389	V	V	13300			1000000000	9000	0.32	0	0	0	0	0	0	9000	0.32	0	0	4300	4300	3325					0	0	0	0	0	1	42095	42269	42269	42381			0.901028657	0.801886792	163256	0.047169811	0.575471698	0	0.179245283	0	0	1	
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	150422095919709		MPACCOAMB-LIT	0	ABAMECTIN X LIT	ABAMECTIN 2.0% Ec	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SINOCHEM	0	0						0	0	0	0	0	0	0	0	Sinochem	CHINA	16	12	4	1	+-	LIBRE-174	1330		1330		0	0	0	0	0	62	0									Default			=	1		1000	665	330	N	N	1000			1000000000	0	1	0	0	0	0	0	0	0	1	0	0	1000	1000	250					0	0	0	0	0	1	42095	42269	42269	42381			1.651588106	0.801886792	27866	0.58490566	0.216981132	0	0	0	0	2	
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	110708162818714		MP-256	0	ABAMECTINA NEGRA 1.8% EC X LITRO	ABAMECTIN 2.0% Ec	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SINOCHEM	0	0						0	0	0	0	0	0	0	0	Sinochem	CHINA	16	12	4	1		LIBRE-174					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	1	42095	42269	42269	42381			1	0.801886792	0	0.801886792	0	0	0	0	0	3	
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	140729114317835		PTNUAGABC-200LIT	0	AGREX ABC X 200LIT	COADYUVANTE AGROENZYMAS	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	1270.91	0	0	0	0	Agroenzimas	MEXICO	12	8	4	1	+-	LIBRE-202	3		3		0	0	0	0	0	1	0									Default			=	1		2	2	1	R	R	2			1000000000	0.81	0.6	0	0	0	0	0	0	0.81	0.6	0	0	1.19	1	1					-241.4729	0	0	-4	0	1	42095	42297	42297	42381			0.585653078	0.743589744	1	0.012820513	0.102564103	0.307692308	0	0.320512821	0	4	
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	140729115433975		PTNUAGAGF-200LIT	0	AGREX F X 200LIT	COADYUVANTE AGROENZYMAS	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	711.39	0	0	0	0	Agroenzimas	MEXICO	12	8	4	1	+-	LIBRE-67	4		4		0	0	0	0	0	1	0									Default			=	1		3	2	1	R	R	2			1000000000	0.32	0.89	0	0	0	0	0	0	0.32	0.89	0	0	2.68	3	1					-483.7452	0	0	-4	0	1	42230	42297	42297	42381			2.592493954	0.743589744	1	0.012820513	0.371794872	0.243589744	0.102564103	0.012820513	0	5	
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	140729115009631		PTNUAGARP-200LIT	0	AGREX RP X 200LIT	COADYUVANTE AGROENZYMAS	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	745.55	0	0	0	0	Agroenzimas	MEXICO	12	8	4	1	+-	LIBRE-202	3		3		0	0	0	0	0	1	0									Default			=	1		2	2	1	A	A	2			1000000000	1.42	0.29	0	0	0	0	0	0	1.42	0.29	0	0	0.58	1	1					0	0	0	-4	0	1	42095	42297	42297	42381			0.134294735	0.743589744	1	0.012820513	0	0.730769231	0	0	0	6	
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	140729110043225		PTNUFFAGR-250CC	0	AGROMIL X 250CC	NUTRICIONAL AGROENZYMAS	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	6.26	13.67	0	0	0	Agroenzimas	MEXICO	12	8	4	1	+-	LIBRE-202	160		160		0	0	0	0	0	92	0									Default			=	1		120	80	40	N	N	120			1000000000	0	1	0	0	0	0	0	0	0	1	0	0	120	120	40					296.4	0	0	4.734824281	0	1	42095	42297	42297	42381			1	0.743589744	2320	0.743589744	0	0	0	0	0	7	
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	140729105702983		PTNUFFAGR-LIT	0	AGROMIL X LIT	NUTRICIONAL AGROENZYMAS	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	22.42	45.2	0	0	0	Agroenzimas	MEXICO	12	8	4	1	+-	LIBRE-202	399		399		0	0	0	0	0	1	0									Default			=	1		300	200	99	A	A	300			1000000000	154	0.49	0	0	0	0	0	0	154	0.49	0	0	146	146	100					0	0	0	4.064228368	0	1	42095	42297	42297	42381			0.355119594	0.743589744	99	0.012820513	0	0.41025641	0.307692308	0.012820513	0	8	
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	140729113619269		PTNUAGAGK-10KIL	0	AGROPET K X 10KIL	NUTRICIONAL AGROENZYMAS	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	57.58	118.42	0	0	0	Agroenzimas	MEXICO	12	8	4	1	+-	LIBRE-202	266		266		0	0	0	0	0	92	0									Default			=	1		200	133	66	N	N	200			1000000000	0	1	0	0	0	0	0	0	0	1	0	0	200	200	67					4015.44	0	0	4.226467523	0	1	42095	42297	42297	42381			1	0.743589744	3828	0.743589744	0	0	0	0	0	9	
AGROTA	Importacion Quimicos.xlsm	42381	MATERIA PRIMA	140729112523690		PTNUAGAGK-KIL	0	AGROPET K X KIL	NUTRICIONAL AGROENZYMAS	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	6.09	12.43	0	0	0	Agroenzimas	MEXICO	12	8	4	1	+-	LIBRE-202	179		179		0	0	0	0	0	1	0									Default			=	1		134	89	44	R	R	134			1000000000	8	0.94	0	0	0	0	0	0	8	0.94	0	0	126	126	45					228.24	0	0	4.164203612	0	1	42095	42297	42297	42381			0.252519101	0.743589744	2068	0.012820513	0.730769231	0	0	0	0	10	
