EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	150220102453393		EC-CS-620P-60LA	0	MOTOSIERRA CS-620P-60 CON BARRA Y CADENA	MOTOSIERRAS	AGROFORESTAL	0	0	0	MOTOSIERRAS	0	ECHO	0	0						0	0	0	439.71	809	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-82					0	0	0	0	0	0	0									Default			=	1		4	3	1	A	V	9			1000000000	2	0.5	1	0	0	0	0	1	4	0	0	0	0	0	1	0				0	0	0	3.664795599	0	1	42284	42366	42366	42443			0	0.177419355	0	0	0	0.177419355	0	0	0	1	
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	100913130112920		EC-ES726	0	BOMBA DE FUMIGACION A MOTOR ES726	PULVERIZADORES	AGROFORESTAL	0	0	0	FUMIGACION	0	SHINDAIWA	0	0						0	0	0	371.98	762.61	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-14					0	0	0	0	0	0	0									Default			=	1		115	76	38	V	V	130			1000000000	90	0.22	8	0	0	0	0	8	106	0.08	0	0	9	9	31	0				0	0	0	4.582416454	0	1	42352	42366	42366	42443			0	0.177419355	0	0	0	0	0.177419355	0	0	2	
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	10000000973		EC-B530INTL	0	DESMALEZADORA B530	MOTOGUADAÑA SHINDAIWA	AGROFORESTAL	0	0	0	DESMALEZADORAS SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	360.15	829	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-271					0	0	0	0	0	0	0									Default			=	1		100	67	33	V	L	138			1000000000	70	0.3	18	0	0	0	0	18	106	-0.06	0	0	0	0	27	20				0	0	0	5.68066336	0	1	42095	42366	42366	42443			0	0.177419355	0	0	0	0	0.177419355	0	0	3	
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	150420094049352		EC-HCA-266LA	0	CORTASETOS ARTICULADO HCA-266LA	CORTACETOS	AGROFORESTAL	0	0	0	UTILITARIOS AGROFORESTALES	0	ECHO	0	0						0	0	0	357.2	759	0	0	0	Echo	USA	11	8	3	1		LIBRE-14					0	0	0	0	0	0	0									Default			=	1		2	2	1	L	L	3			1000000000	3	-0.5	0	0	0	0	0	0	3	-0.5	0	0	0	0	1	0				0	357.2	0	4.908480098	0	1	42352	42366	42366	42443			0	0.177419355	0	0	0	0	0	0.177419355	0	4	
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	141017160806951		EC-PPT-266LA	0	PODADORA DE EXTENSION PPT-266	PODADORA DE ALTURA	AGROFORESTAL	0	0	0	UTILITARIOS AGROFORESTALES	0	ECHO	0	0						0	0	0	341.64	709	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-199					0	0	0	0	0	0	0									Default			=	1		25	17	8	V	L	31			1000000000	22	0.12	11	0	0	0	0	11	44	-0.76	0	0	0	0	7	0				0	0	0	4.692148035	0	1	42167	42366	42366	42443			0	0.177419355	0	0	0	0	0.177419355	0	0	5	
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	100702152835923		EC-SHP-800-2	0	BOMBA DE FUMIGACION SHP-800-2	PULVERIZADORES	AGROFORESTAL	0	0	0	FUMIGACION	0	ECHO	0	0						0	0	0	341.51	699	0	0	0	Echo	USA	11	8	3	1		LIBRE-14					0	0	0	0	0	0	0								2	Default			=	1		3	2	1	L	L	5			1000000000	8	-1.67	0	0	0	0	0	0	8	-1.67	0	0	0	0	1	0				0	1707.55	0	4.567820455	0	1	42352	42366	42366	42443			0	0.177419355	0	0	0	0	0	0.177419355	0	6	
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	10000000972		EC-B450R	0	DESMALEZADORA B450R (B450EMC)	MOTOGUADAÑA SHINDAIWA	AGROFORESTAL	0	0	0	DESMALEZADORAS SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	337.82	802.88	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-14	705		705		0	0	0	0	0	0	0									Default		2	=	1		530	352	175	R	L	511			1000000000	2	1	261	0	0	0	0	551	814	-0.54	0	0	0	0	145	60				80455.38	0	0	6.007201253	0	1	42352	42366	42366	42443			0	0.177419355	1903	0	0.177419355	0	0	0	0	7	
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	10000000975		EC-BP35INTL	0	DESMALEZADORA BP35	MOTOGUADAÑA SHINDAIWA	AGROFORESTAL	0	0	0	DESMALEZADORAS SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	336.81	640.62	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-271	14		14		0	0	0	0	0	17	0									Default			=	1		10	7	3	N	R	8			1000000000	0	1	2	0	0	0	2	2	2	0.8	0	0	8	8	3	0				911.43	0	0	3.936095614	0	1	42095	42366	42366	42443			1	0.177419355	33	0.177419355	0	0	0	0	0	8	
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	10000001186		EC-DM-6110-13EUSTD	0	"NEBULIZADORA, PULVERIZADORA 13LITROS"	NEBULIZADORA	AGROFORESTAL	0	0	0	FUMIGACION	0	ECHO	0	0						0	0	0	334.11	614	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-13	11		11		0	0	0	0	0	0	0									Default			=	1		8	5	3	R	L	5			1000000000	3	0.63	5	0	0	0	0	5	13	-0.63	0	0	0	0	2	0				0	0	0	3.655497237	0	1	42353	42366	42366	42443			0	0.177419355	11	0	0.177419355	0	0	0	0	9	
AGROTA	Maquinaria.xlsm	42443	Bodega Central Agrota	140311175512493		EC-PB-755/LA	0	SOPLADORA PB755	SOPLADORAS	AGROFORESTAL	0	0	0	UTILITARIOS AGROFORESTALES	0	ECHO	0	0						0	0	0	332.8	626.01	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-271					0	0	0	0	0	0	0									Default			=	1		8	5	3	A	A	10			1000000000	5	0.38	0	0	0	0	0	0	5	0.38	0	0	3	3	2	2				0	0	0	3.844536713	0	1	42095	42366	42366	42443			0	0.177419355	0	0	0	0.177419355	0	0	0	10	
