EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	10102013251495		IN-086	0	SKEKURA  X 500 ML	CARBENDAZIM 50% SC	PLAGUICIDAS CONVENCIONALES	0	0	0	FUNGICIDA	0	SINOCHEM	0	0						0	0	0	5.17	0	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-77	5985		5985		0	0	0	0	0	89	0									Default			=	1		4500	2993	1485	N	N	0			1000000000	0	1	0	0	0	0	0	0	0	1	0	0	4500	4500	3000					-7677.45	0	0	-32	0	1	42284	42361	42361	42382			1	0.235294118	5940	0.235294118	0	0	0	0	0	1	
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	110110155708080		PTFUCOSKK-500G	0	SKEKURA X 500G	CARBENDAZIM 50% WP	PLAGUICIDAS CONVENCIONALES	0	0	0	FUNGICIDA	0	SINOCHEM	0	0						0	0	0	3.45	7.4	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-266					0	0	0	0	0	0	0						1000		200	Default			=	1		3990	2653	1317	A	A	3990			1000000000	2103	0.47	0	0	0	0	0	0	2103	0.47	0	0	1887	1887	2660					0	0	0	36.63768116	0	1	42095	42361	42361	42382			0	0.235294118	0	0	0	0.235294118	0	0	0	2	
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	101020132525110		PTACCOYOG-100CC	0	YOGA X 100CC	ABAMECTIN 2.0% Ec	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SINOCHEM	0	0						0	0	0	1.41	6	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-77	4522		4522		0	0	0	0	0	0	0						200			Default			=	1		3400	2261	1122	R	R	2200			1000000000	774	0.77	0	0	0	0	0	0	774	0.77	0	0	2626	2626	2267	500				1597.32	0	0	104.1702128	0	1	42284	42361	42361	42382			0	0.235294118	1392	0	0.235294118	0	0	0	0	3	
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	101020132544136		PTFUCOSKK-200G	0	SKEKURA X 200G	CARBENDAZIM 50% WP	PLAGUICIDAS CONVENCIONALES	0	0	0	FUNGICIDA	0	SINOCHEM	0	0						0	0	0	1.4	3.2	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-266					0	0	0	0	0	0	0						5000		1000	Default			=	1		5600	3724	1848	A	A	5600			1000000000	2502	0.55	0	0	0	0	0	0	2502	0.55	0	0	3098	3098	3733					0	0	0	41.14285714	0	1	42095	42361	42361	42382			0	0.235294118	0	0	0	0.235294118	0	0	0	4	
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	140206174501054		PTPLINKSHI-150G	0	KENSHI X 150G	IMIDACLOPRID 42%+LAMBDA-CYHALOTHRIN 6%WP	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SINOCHEM	0	0						0	0	0	4.81	16	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-152					0	0	0	0	0	43	0						500			Default			=	1		1647	1095	544	V	V	2353			1000000000	1540	0.06	0	0	0	0	0	0	1540	0.06	0	0	107	107	1098					0	0	0	74.44490644	0	1	42209	42361	42361	42382			0	0.235294118	0	0	0	0	0.235294118	0	0	5	
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	110106125622941		IN-2047	0	LAMBDA SOL X 100 ML	LAMBDACIHALOTRINA 2.5% EC	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SINOCHEM	0	0						0	0	0	0.6	1.9	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-77	1995		1995		0	0	0	0	0	89	0									Default			=	1		1500	998	495	N	N	0			1000000000	0	1	0	0	0	0	0	0	0	1	0	0	1500	1500	1000					643.5	0	0	69.33333333	0	1	42284	42361	42361	42382			1	0.235294118	1980	0.235294118	0	0	0	0	0	6	
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	130423084040994		OT-99909-55133	0	ACEITE SHINDAIWA LA X LT	MOTOGUADAÑA SHINDAIWA	AGROFORESTAL	0	0	0	DESMALEZADORAS SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	2.97	6.7	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-266	1995		1995		0	0	0	0	0	89	0								200	Default			=	1		1500	998	495	N	N	1500			1000000000	0	1	0	0	0	0	0	0	0	1	0	0	1500	1500	1000					1846.35	0	0	40.18855219	0	1	42095	42361	42361	42382			1	0.235294118	1980	0.235294118	0	0	0	0	0	7	
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	101020134024507		PTPLFULET-250CC	0	LETAL X 250CC	MYCLOBUTANIL 12.5% EC	PLAGUICIDAS CONVENCIONALES	0	0	0	FUNGICIDA	0	SINOCHEM	0	0						0	0	0	4.04	9.45	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-152					0	0	0	0	0	0	0						576		200	Default			=	1		1300	865	429	R	R	899			1000000000	352	0.73	0	0	0	0	0	0	352	0.73	0	0	948	948	867					416.57	0	0	42.85148515	0	1	42209	42361	42361	42382			0	0.235294118	308	0	0.235294118	0	0	0	0	8	
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	10102013250076		PTPLFUSCO-100CC	0	SCOBA X 100CC	DIFENOCONAZOLE 25% EC	PLAGUICIDAS CONVENCIONALES	0	0	0	FUNGICIDA	0	SINOCHEM	0	0						0	0	0	2.05	5.6	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-77					0	0	0	0	0	0	0						600		100	Default			=	1		2000	1330	660	V	V	1100	700	950	1000000000	1561	0.22	0	0	0	0	0	0	1561	0.22	0	0	439	439	1333			NO EST: Volver el buffer actual al buffer anterior a la estación.		0	0	0	55.41463415	0	1	42284	42361	42361	42382			0	0.235294118	0	0	0	0	0.235294118	0	0	9	
AGROTA	Producto Terminado.xlsm	42382	PRODUCTO TERMINADO	101020134025508		PTINCOFUL-50G	0	FULMINANTE X 50G	CYROMAZINA 75% WP	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SINOCHEM	0	0						0	0	0	2.69	8.4	0	0	0	MATERIA PRIMA	PRODUCCION	3	0.5	1	1	+-	LIBRE-77					0	0	0	0	0	0	0						450		100	Default			=	1		1800	1197	594	R	R	1210			1000000000	584	0.68	0	0	0	0	0	0	584	0.68	0	0	1216	1216	1200	700				57.1	0	0	67.92565056	0	1	42284	42361	42361	42382			0	0.235294118	40	0	0.235294118	0	0	0	0	10	
