EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	130711102159968		EC-C044000450	0	PALANCA ACELERADOR COMP M230	REPUESTOS DESMALEZADORAS	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	13.78	33.5	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0									Default			=	1		1	1	0.5	A	A	1			1000000000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					0	0	0	6.244623301	0	1	42095	42356	42356	42433			0	0.068965517	0	0	0	0.068965517	0	0	0	1	
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	121003121042875		EC-C300000480	0	TAPA LATERAL DE BARRA ACC PODAROR ALTURA	REPUESTOS ULTILITARIOS	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	4.14	9.84	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0									Default			=	1		1	1	0.5	A	A	1			1000000000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					0	0	0	6.007905138	0	1	42095	42356	42356	42433			0	0.068965517	0	0	0	0.068965517	0	0	0	2	
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	10000000547		EC-4579070	0	VALVULA COMPLETA ES726	REPUESTOS FUMIGACION	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	50.1	95	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0									Default			=	1		1	1	0.5	A	A	1			1000000000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					0	0	0	3.910724007	0	1	42095	42356	42356	42433			0	0.068965517	0	0	0	0.068965517	0	0	0	3	
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	10000000802		EC-99909-207	0	VALVULA PATO C230	REPUESTOS DESMALEZADORAS	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	1	3.26	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0									Default			=	1		1	1	0.5	A	A	1			1000000000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					0	0	0	9.861818182	0	1	42095	42356	42356	42433			0	0.068965517	0	0	0	0.068965517	0	0	0	4	
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	10000000631		EC-P004002820	0	VALVULA PISTON CARBURADOR ES726 (68501-81360)	REPUESTOS FUMIGACION	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	14.74	46.02	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0									Default			=	1		1	1	0.5	A	A	1			1000000000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					0	0	0	9.260145553	0	1	42095	42356	42356	42433			0	0.068965517	0	0	0	0.068965517	0	0	0	5	
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	10000000350		EC-P021035261	0	ARRANCADOR SEMI 22F	REPUESTOS DESMALEZADORAS	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	12.25	22.84	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261	3		3		0	0	0	0	0	0	0									Default			=	1		2	2	1	R	L	2			1000000000	1	0.5	1	0	0	0	0	1	3	-0.5	0	0	0	0	1					0	0	0	3.772319109	0	1	42095	42356	42356	42433			0	0.068965517	1	0	0.068965517	0	0	0	0	6	
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	140717172524147		EC-V043000351	0	CABLE ACELERADOR EB-500 (V043000350)	REPUESTOS ULTILITARIOS	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	ECHO	0	0						0	0	0	16.73	31.11	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0									Default			=	1		2	2	1	A	A	2			1000000000	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1					0	0	0	3.750692822	0	1	42095	42356	42356	42433			0	0.068965517	0	0	0	0.068965517	0	0	0	7	
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	110106153525299		EC-A011000810	0	CIGUEÑAL B45-B45LA	REPUESTOS DESMALEZADORAS	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	28.51	69.19	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0									Default			=	1		2	2	1	A	A	2			1000000000	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1					0	0	0	6.226332068	0	1	42095	42356	42356	42433			0	0.068965517	0	0	0	0.068965517	0	0	0	8	
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	10000000758		EC-81593	0	COJINETE DE AGUJAS BIELA C230	REPUESTOS DESMALEZADORAS	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	2.64	7.94	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0									Default			=	1		2	2	1	A	A	2			1000000000	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1					0	0	0	8.760330579	0	1	42095	42356	42356	42433			0	0.068965517	0	0	0	0.068965517	0	0	0	9	
AGROTA	Repuestos Shindaiwa.xlsm	42433	Bodega Central Agrota	110113104345223		EC-A160002240	0	CUBIERTA CILINDRO C230-ES726 (38500-32010)	REPUESTOS DESMALEZADORAS	AGROFORESTAL	0	0	0	REPUESTOS ECHO Y SHINDAIWA	0	SHINDAIWA	0	0						0	0	0	10.34	25.59	0	0	0	Echo	USA	11	8	3	1	+-	LIBRE-261					0	0	0	0	0	0	0						1			Default			=	1		2	2	1	A	A	2			1000000000	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1					0	0	0	6.435730614	0	1	42095	42356	42356	42433			0	0.068965517	0	0	0	0.068965517	0	0	0	10	
